Nr.;Vorname;Nachname;Geburtsdatum
712;Telse;Ohler;20.12.1940
713;Wilgard;Schaumburg;01.12.2010
714;Hannsjörg;Nehring;31.07.1938
715;Eckardt;Grafe;04.05.1934
716;Hadwig;Zentner;22.11.1928
717;Christine;Hanika;18.02.1928
718;Hariolf;Pietsch;12.08.1922
719;Tanja;Siebel;11.12.1957
720;Fridoline;Bauch;15.04.1924
721;Jonah;Schiel;29.02.1940
722;Anton;Rittner;26.08.1994
723;Boris;Lüdke;16.01.2006
724;Dietbald;Kann;25.06.2012
725;Lilli;Schulz;21.09.2018
726;Detlef;Hild;20.03.1979
727;Frederik;Heid;15.10.1955
728;Kati;Langlotz;07.05.1926
729;Antja;Henke;12.09.2009
730;Huldine;Steding;18.12.1981
731;Dorle;Schirra;31.12.1952
732;Anja;Mahr;30.01.1929
733;Siegtraud;Koblitz;25.06.1960
734;Christof;Rösel;29.09.1934
735;Kriemhild;Dexheimer;11.10.2001
736;Gesine;Funke;09.12.2013
737;Anneli;Holzhausen;04.05.1926
738;Kathrinchen;Weingart;29.04.1961
739;Otfried;Löwe;05.04.1908
740;Margret;Demir;06.12.1944
741;Kathrina;Loosen;05.10.1947
742;Jona;Krauß;09.09.1951
743;Julian;Kern;02.07.1961
744;Kristina;Bodenmüller;06.12.1932
745;Carlotta;Kloß;23.09.1980
746;Isabell;Obermayer;23.06.2011
747;Caren;Dambacher;08.12.2021
748;Ilsedore;Ryan;16.09.1997
749;Diethelm;Hawkins;04.02.1943
750;Vincent;Stolp;30.11.1902
751;Leoni;Kögler;29.06.1965
752;Frowin;Oehler;21.10.2004
753;Mirko;Händel;30.03.1908
754;Chantalle;Bommer;20.12.2002
755;Neithart;Zillmann;18.10.1932
756;Heinzkarl;Mockenhaupt;01.06.1945
757;Burghilde;Moos;30.05.1939
758;Annekathrin;Rick;08.07.1992
759;Gundula;Martens;17.06.1974
760;Aileen;Gödeke;23.06.1995
761;Folkhardt;Lewe;19.01.2020
762;Nadin;Deckert;16.12.2017
763;Gefion;Uecker;10.12.1903
764;Birke;Gibbs;18.04.2022
765;Hippolytus;Ziegenbein;05.03.1931
766;Stefani;Lehmkuhl;25.10.2010
767;Laurens;Eberwein;12.07.1920
768;Bernulf;Kusterer;19.04.2006
769;Jannik;Metzen;13.04.1928
770;Ula;Kindl;11.12.1997
771;Ottwin;Kinner;28.12.2013
772;Rosemarie;Zingler;19.03.1923
773;Annabelle;Höck;22.08.1924
774;Hannmeike;Dobner;09.09.1936
775;Hansl;Isele;05.06.2013
776;Horst;Fördern;16.10.2024
777;Wiltraut;Manger;29.06.2011
778;Helgomar;Brust;01.09.2001
779;Senta;Massey;07.12.1948
780;Rosalie;Stitz;17.11.1972
781;Tommy;Knigge;15.04.2019
782;Annik;Hanselmann;03.10.2005
783;Luk;Kohn;27.08.1997
784;Kläre;Szabo;05.06.1954
785;Franzi;Mahn;14.01.2005
786;Samuel;Meßner;23.10.2019
787;Jost;Tholen;22.12.1975
788;Biggy;Zähringer;21.11.2002
789;Maleen;Mund;08.04.2000
790;Klaudius;Ringe;16.12.1932
791;Witta;Zoeller;12.10.1915
792;Rouven;Bürkle;14.10.2003
793;Thankmar;Semmler;01.11.1995
794;Sophie;Ostrowski;05.05.1983
795;Felizia;Bohr;18.05.1955
796;Ronja;Rzepka;13.09.1902
797;Ottokar;Kaune;29.09.1922
798;Heintje;Eisen;03.09.1913
799;Reinholdt;Stump;29.01.1955
800;Rimbert;Schweizer;21.12.1968
801;Danny;Carls;13.10.1958
802;Hanna;Sroka;14.08.1921
803;Dora;Zillmann;01.10.1951
804;Claas;Fuß;14.12.1967
805;Friedegund;Röll;08.09.1921
806;Simperta;Elsner;04.03.1999
807;Chantal;Karger;19.05.2003
808;Martin;Riepe;04.02.1987
809;Merten;Tate;01.11.1915
810;Claus;Strittmatter;05.05.1981
811;Kirstin;Volkmar;12.10.2009
812;Rezzo;Meinel;24.11.1941
813;Heidegard;Faller;13.12.2016
814;Bernward;Kainz;28.05.1934
815;Liselotte;Tholen;06.04.1925
816;Jonah;Rauter;26.10.1922
817;Julian;Koob;30.08.2018
818;Ingelene;Marten;21.08.1945
819;Marta;Rojahn;07.04.2022
820;Franzl;Herbers;08.03.1910
821;Eberhart;Sickert;18.07.1937
822;Ilsetraud;Ciftci;30.04.1907
823;Tino;Thiessen;21.07.1941
824;German;Bogner;14.04.1919
825;Linda;Ritter;07.07.2011
826;Berndt;Brunn;02.09.1993
827;Hanns;Thull;23.07.1961
828;Gotelind;Koblitz;20.12.1949
829;Hubertina;Göttel;14.10.2017
830;Walther;Keim;18.02.1903
831;Odilo;Ziegler;14.02.2008
832;Martin;Schwalm;16.02.1918
833;Richarda;Heidler;01.10.2001
834;Wigand;Malter;09.09.1917
835;Wulf;Sarikaya;18.04.1912
836;Karoline;Dickert;28.07.1924
837;Ilsetraut;Strahl;27.02.1966
838;Aloysia;Hörger;11.04.1994
839;Alicia;Rogg;06.02.1913
840;Heinzjürgen;Kammerl;30.05.1975
841;Steffan;Kästner;10.11.1925
842;Mirko;Struck;12.10.1935
843;Hadmut;Reichart;11.05.1939
844;Friedrich;Felde;15.02.1997
845;Erhart;Ritzer;09.03.1991
846;Berna;Grade;17.05.1952
847;Samantha;Langohr;18.06.1963
848;Hermelinda;Schönbeck;25.10.1926
849;Hanneliese;Seydel;04.03.1925
850;Caren;Beisel;10.06.2004
851;Mariele;Blomberg;14.08.2021
852;Ella;Zitzelsberger;09.01.2005
853;Marilu;Bauch;02.09.2012
854;Annemaria;Linn;16.04.1932
855;Annelinde;Sander;12.09.1974
856;Lea;Roth;31.10.1925
857;Anton;Görke;22.04.1954
858;Hansl;Rasch;23.09.1956
859;Timm;Collet;03.02.1938
860;Gerfriede;Böttinger;07.01.1907
861;Vreneli;Angele;01.11.1986
862;Milli;Heinze;01.12.1998
863;Adelheid;Schöniger;08.10.1976
864;Franz;Schnorr;27.02.2007
865;Isabell;Kayser;15.01.1924
866;Sam;Wagner;30.05.2023
867;Karlpeter;Pfister;23.09.1916
868;Altfried;Sieler;11.04.1944
869;Helm;Gille;18.03.1919
870;Einhardt;Schweer;09.03.1973
871;Klaudius;Mohaupt;06.03.1989
872;Jeannette;Rosen;23.04.1914
873;Heinzdieter;Stanzel;02.03.1908
874;Erfried;Walkowiak;22.11.1973
875;Dietmar;Koll;18.10.1930
876;Birglinde;Nelles;26.02.1944
877;Patrizia;Berens;02.11.1966
878;Serafine;Eble;13.09.1957
879;Hilar;Pester;31.12.1920
880;Sabinchen;Klingberg;21.01.1962
881;Edelhard;Langguth;07.06.1921
882;Maximiliane;Künnemann;10.03.1999
883;Sieghilde;Doetsch;15.05.1938
884;Mareen;Gaber;12.11.1943
885;Gislinde;Höfle;29.08.1936
886;Wigbert;Hartmann;03.01.2010
887;Willi;Eickmeier;14.06.1950
888;Witmar;Stenger;12.05.1995
889;Isa;Gutmann;30.09.1934
890;Herrmann;Woltering;24.05.1995
891;Hannspeter;Gans;31.10.1985
892;Elfi;Amelung;15.10.1918
893;Brunhild;Jahns;05.02.1932
894;Heidetraud;Dücker;21.05.1937
895;Dietbald;Schreiner;25.07.1986
896;Ulvi;Gropp;14.05.1981
897;Gerta;Gottschall;12.01.1947
898;Bardo;Zoll;25.09.1975
899;Philipine;Strehlau;30.04.1994
900;Ian;Sitter;10.11.1917
901;Nick;Weiher;14.01.1984
902;Uschi;Gomez;24.01.2010
903;Kiara;Neal;22.04.1903
904;Ruthild;Iser;22.09.1936
905;Ulf;Oster;06.08.1965
906;Margund;Wallbaum;24.04.2006
907;Emmeram;Wich;03.01.1915
908;Töns;Veigel;17.12.2012
909;Lena;Verheyen;07.01.1985
910;Sibille;Stotz;28.06.1940
911;Jeremy;Jarosch;24.07.2013
912;Andrea;Bast;04.09.1952
913;Ortrud;Pommer;11.01.1981
914;Marina;Sauermann;26.12.1996
915;Inge;Klinner;25.02.1988
916;Desiree;Lesser;20.11.1935
917;Sigmut;Eppler;06.02.1903
918;Ekhardt;Böhnke;15.07.2022
919;Laurentius;Völkel;15.09.1991
920;Runhild;Böhm;02.03.1995
921;Thore;Kretschmer;18.04.1978
922;Heimo;Morgenstern;15.08.1987
923;Aribert;Reichow;09.02.1920
924;Wilbrandt;Klingner;12.08.1978
925;Heimbert;Gehlhaar;03.07.1921
926;Karsta;Priv.;22.07.2011
927;Hansdieter;Hollinger;11.07.1983
928;Anrich;Kay;25.11.1922
929;Lebrecht;Riesen;02.03.1926
930;Nortrun;Bühner;17.09.1979
931;Helmuth;Waßmann;12.12.1937
932;Bennett;Stelling;14.11.1988
933;Gotelind;Karthaus;12.09.2008
934;Goswin;Maile;26.11.1919
935;Rupprecht;Bogdan;22.06.1940
936;Eva;Todt;11.02.1908
937;Maike;Schultheiß;19.03.1994
938;Erica;Martensen;02.03.1906
939;Florentine;Haucke;20.12.2011
940;Waldburga;Leiß;08.05.1934
941;Michelle;Leister;20.04.1947
942;Maximiliane;Metternich;15.10.1926
943;Bernadine;Bierbrauer;29.12.2021
944;Torben;Rothfuß;06.04.1964
945;Siegfrid;Hug;14.02.1924
946;Debora;Schraml;01.06.1959
947;Sturmhard;Forster;23.01.1978
948;Winfriede;Löhner;05.11.2018
949;Dethard;Krautz;01.10.1936
950;Kassandra;Eiselt;26.03.2024
951;Edgar;Yücel;29.03.1934
952;Aloisia;Raür;17.04.1910
953;Meinhard;Dotterweich;08.04.2025
954;Jons;Schliemann;04.10.2024
955;Ludolf;Kubis;31.12.1996
956;Cläre;Schwenzer;18.10.1928
957;Ferfried;Jensen;07.11.1936
958;Camilla;Böhl;30.04.1913
959;Roselotte;Fleck;30.01.1969
960;Albert;Stamm;28.04.1986
961;Eckardt;Schwitalla;28.05.2009
962;Stephan;Bräutigam;05.02.1934
963;Manja;Spiegler;29.07.2023
964;Marta;Heidmann;25.07.1915
965;Oswald;Vedder;20.05.1942
966;Uta;Brämer;16.06.1943
967;Yasmin;Gauger;29.07.1919
968;Tillmann;Heep;01.04.2004
969;Gertraude;Lindhorst;25.04.1974
970;Ilse;Lueg;27.02.1903
971;Marliese;Knust;28.08.1902
972;Marilu;Kösters;13.11.1963
973;Rainmund;Kreißl;02.04.1956
974;Thorben;Schlautmann;16.05.2021
975;Traugott;Bielefeld;12.03.1971
976;Karena;Dörre;26.08.1913
977;Kunigunda;Weihe;24.09.2007
978;Oskar;Freudenstein;10.05.1933
979;Gerd;Seelmann;27.04.1973
980;Albin;Helling;31.12.1919
981;Reinald;Garske;07.08.1990
982;Irmela;Garske;26.05.1942
983;Friedewald;Dahlmann;18.09.1917
984;Kathrein;Pick;04.09.1922
985;Valeska;Lach;30.10.1921
986;Luzia;Scharl;24.11.2004
987;Tina;Hänsch;01.09.1909
988;Nordfried;Paffrath;09.12.1943
989;Grit;Pein;22.02.1914
990;Marita;Aydogan;06.03.1914
991;Willmar;Hornig;01.10.1951
992;Rosemaria;Steinfeld;13.05.1923
993;Cedrik;Tessmer;09.09.1974
994;Othmar;Tas;11.03.1996
995;Gerald;Tissen;03.07.2002
996;Alrik;Bringmann;25.04.1923
997;John;Gleichmann;27.07.1942
998;Juliane;Caliskan;06.10.1967
999;Fini;Ziemer;21.09.2020
1000;Christfriede;Deutsch;05.03.1985
1001;Silvester;Bendix;08.04.2020
1002;Reinbert;Rux;20.04.1956
1003;Berthilde;Zacherl;15.09.1909
1004;Mats;Wendel;22.10.1990
1005;Hertha;Rumpf;07.09.1988
1006;Ribana;Meis;11.12.1977
1007;Ann;Stranz;20.10.1910
1008;Nicole;Reuschel;02.10.2005
1009;Cedric;Perl;31.07.1931
1010;Augustine;Büning;09.07.2002
1011;Ludwiga;Rubin;16.08.2006
1012;Thiemo;Senf;03.05.2013
1013;Hildeburg;Weitz;02.09.1902
1014;Elias;Langmann;28.05.1969
1015;Arnolf;Thielmann;19.06.1949
1016;Liebgard;Mörs;06.05.2025
1017;Hartwig;Endemann;28.01.2002
1018;Alfred;Homm;10.11.1961
1019;Sina;Niewöhner;29.04.1928
1020;Mirco;Karl;20.03.2012
1021;Dietbert;Alter;19.10.1943
1022;Adeline;Blatt;05.08.1976
1023;Cordula;Willkomm;26.02.1919
1024;Rüdiger;Wenk;01.05.1986
1025;Rainald;Reining;01.03.1917
1026;Schorsch;Gottschlich;08.03.2003
1027;Anneros;Viehweger;01.02.1968
1028;Annedorle;Bruckner;29.07.1965
1029;Kimberly;Leyendecker;01.05.1903
1030;Eveline;Vogt;09.03.1945
1031;Richard;Thome;16.09.1985
1032;Annette;Schölzel;21.07.1956
1033;Barbara;Frensch;01.01.1950
1034;Thiemo;Schippers;09.06.1936
1035;Ortrud;Renz;15.03.1971
1036;Wolfeckart;Ziegenhagen;08.01.1967
1037;Hildebrand;Tröndle;26.02.1935
1038;Marie;Mill;18.10.1969
1039;Korbinian;Binner;17.11.1963
1040;Mareike;Essen;16.06.1911
1041;Maximillian;Reidenbach;06.03.1965
1042;Gundhild;Philippi;22.01.1995
1043;Siegharda;Hampp;25.05.1928
1044;Trautlinde;Berthold;15.07.2023
1045;Remigius;Lemme;18.07.1910
1046;Amelie;Draxler;29.04.2001
1047;Otwald;Bitz;09.03.1984
1048;Susette;Claas;01.05.1943
1049;Ishild;Paschen;14.07.1967
1050;Steffi;Blum;01.03.1987
1051;Paulfried;Rodriguez;09.10.1979
1052;Erhardt;Wahle;08.06.1978
1053;Gertraude;Dresel;31.01.1974
1054;Roslinde;Karius;09.02.1925
1055;Karolin;Kelling;09.06.1932
1056;Birglinde;Giese;19.06.1903
1057;Elgine;Kampf;18.07.1979
1058;Hiltraud;Bruckner;12.07.2009
1059;Thilde;Smolka;17.06.2007
1060;Anika;Weinkauf;11.07.1991
1061;Claudius;Nick;07.01.1936
1062;Hanna;Schönfeld;14.11.2000
1063;Monique;Hiller;15.06.1954
1064;Annica;Rißmann;31.10.1941
1065;Undine;Kämmerling;11.09.1955
1066;Eckehard;Riemenschneider;02.01.1945
1067;Deborah;Kötting;02.06.1965
1068;Follrich;Großkopf;28.04.1929
1069;Selma;Leist;04.02.1981
1070;Herwart;Emmrich;06.04.1949
1071;Annika;Andrä;10.12.1999
1072;Nicholas;Liebrecht;13.02.1942
1073;Marcellus;Bathe;30.03.1914
1074;Leopoldine;Riek;07.03.1995
1075;Annarose;Rauscher;19.11.1962
1076;Luc;Brands;02.10.1941
1077;Pius;Look;06.12.2009
1078;Simone;Keppler;23.02.1972
1079;Eugenia;Seng;07.01.1987
1080;Annehilde;Olson;06.06.1931
1081;Rigobert;Lanfermann;18.12.1985
1082;Elgine;Scherm;11.11.1917
1083;Margrid;Hüsch;25.02.1931
1084;Laurentius;Ramsey;19.01.1927
1085;Marfriede;Halm;18.11.2006
1086;Rudenz;Triebel;22.11.2000
1087;Isabelle;Reitinger;15.05.1937
1088;Dietolf;Behringer;05.06.1947
1089;Dominik;Seel;06.01.1928
1090;Irmela;Böhm;20.02.1970
1091;Eginald;Hilbert;20.09.1915
1092;Olivia;Pollak;15.03.1951
1093;Anselm;Schiffner;19.09.1940
1094;Biggi;Stobbe;17.02.2001
1095;Jolanta;Polzin;12.10.1932
1096;Ingelore;Pritzl;21.02.1950
1097;Reglindis;Winterfeld;30.03.1927
1098;Anneheide;Akin;17.04.1957
1099;Lydia;Altendorf;23.01.1994
1100;Dirk;Möhrle;28.04.1955
1101;Tristan;Rothmann;17.03.1951
1102;Wladislaus;Unterberg;11.05.1969
1103;Hannerose;Linden;14.10.2012
1104;Christhilde;Schurr;17.10.1947
1105;Sigmund;Bühl;08.02.1965
1106;Ilsefriede;Schepp;16.04.1933
1107;Heidemaria;Hohenstein;21.08.1996
1108;Isabella;Böge;20.04.1976
1109;Jupp;Hopf;03.05.1981
1110;Evelin;Eschweiler;28.07.2019
1111;Siegtraud;Sawitzki;29.10.2002
1112;Sighelm;Seiwert;13.10.1967
1113;Lynn;Daniela;30.03.1949
1114;Annalene;Wolgast;19.08.1978
1115;Florenz;Nilles;30.09.1975
1116;Grete;Erpel;26.01.1945
1117;Gerritdina;Reichow;21.06.2008
1118;Marilen;Katzmann;30.09.1924
1119;Emely;Elfers;07.09.1914
1120;Kyra;Gottschlich;19.08.1951
1121;Gusti;Funken;13.02.2005
1122;Reiner;Wille;18.11.1922
1123;Ronja;Bailey;13.10.1919
1124;Friedegard;Kellner;20.06.1975
1125;Gottfried;Alder;09.11.1905
1126;Sabrina;Werk;17.12.1981
1127;Manfred;Kamin;16.02.2010
1128;Hilde;Böttjer;11.11.1911
1129;Andree;Steinberger;13.02.2019
1130;Nora;Steinberg;10.08.1981
1131;Herwiga;Kerber;05.05.1973
1132;Wiltrude;Blumenstein;15.12.1930
1133;Bolko;Heidkamp;22.04.1915
1134;Manhard;Ehlers;30.01.1978
1135;Sara;Rossbach;04.05.1975
1136;Walburg;Wall;22.06.1970
1137;Fine;Vos;15.01.1975
1138;Holdina;Gesing;05.03.1921
1139;Lioba;Rüttgers;21.01.2023
1140;Giselher;Hagner;18.05.1919
1141;Waldtraut;Böckmann;02.11.1975
1142;Jenny;Straube;28.12.1934
1143;Annekristin;Hajek;17.08.1919
1144;Dimitri;Elsässer;10.03.1974
1145;Paulus;Hentschke;29.06.1916
1146;Angelika;Leichsenring;09.02.1978
1147;Michelle;Leuschner;16.07.2023
1148;Mira;Bange;28.05.1952
1149;Marietraud;Bolz;19.04.1987
1150;Krimhilde;Heinen;28.06.1949
1151;Luitwin;Lübbers;20.11.1969
1152;Achaz;Petermann;08.08.1971
1153;Annekathrin;Kreth;30.03.1948
1154;Käthe;Hertrampf;22.01.1907
1155;Neithard;Lütjens;08.11.1914
1156;Krista;Lengert;10.06.1911
1157;Reinhardine;Kolter;08.12.2010
1158;Svea;Kleber;26.04.1966
1159;Wendelinus;Engemann;18.07.1982
1160;Waltraut;Kus;21.02.1903
1161;Nikodemus;Kölsch;03.10.1936
1162;Loreliese;Bräuning;01.11.1936
1163;Hoimar;Friedemann;07.12.1964
1164;Christfried;Hübl;19.08.1902
1165;Ekkart;Unverzagt;01.12.1908
1166;Riana;Schurr;03.04.2024
1167;Sonja;Struve;01.05.1955
1168;Colin;Zettler;23.01.1911
1169;Melinda;Fenske;15.08.1976
1170;Mats;Yang;09.05.1964
1171;Wladislaus;Niethammer;06.12.1991
1172;Jeremy;Ströhlein;04.06.1983
1173;Hansdieter;Teske;25.03.1975
1174;Eckhold;Lloyd;21.12.1956
1175;Utto;Trabert;01.07.1951
1176;Belinda;Feindt;05.09.1930
1177;Matthäus;Rathke;06.04.1905
1178;Edelburg;Pflaum;07.04.1944
1179;Xaverius;Menges;22.02.1941
1180;Raymund;Lenk;17.08.2019
1181;Reinulf;Wölke;02.05.1997
1182;Ingetraut;Waldschmidt;29.10.1946
1183;Nicolas;Dibbern;31.07.1947
1184;Ulf;Krampitz;22.05.1928
1185;Kreszentia;Froese;06.07.2023
1186;Notker;Gattermann;12.11.1987
1187;Elfrun;Warneke;29.05.1904
1188;Lenz;Blunk;07.07.2005
1189;Irma;Werth;19.07.1946
1190;Denny;Brüning;05.10.1998
1191;Lucia;Kloppenburg;02.12.1912
1192;Dominik;Gulde;25.09.1945
1193;Hansjörg;Deneke;19.06.1947
1194;Bertin;Wischer;23.08.1973
1195;Friedeburg;Eichelmann;21.09.1954
1196;Arlinde;Dibbern;23.04.1914
1197;Benno;Funke;02.04.1922
1198;Giseltraud;Sauerwald;11.06.2015
1199;Albine;Kreher;27.02.1920
1200;Marcellus;Löhner;14.10.2011
1201;Treufried;Carter;14.04.2004
1202;Ottomar;Lahmann;07.03.1998
1203;Bertwalda;Heinold;20.11.2019
1204;Kasimir;Hüttig;28.02.1915
1205;Dirk;Stahr;29.04.1946
1206;Bernhardt;Meiers;27.11.2015
1207;Meinulf;Gillich;05.08.2021
1208;Adolfa;Hohlfeld;11.06.1944
1209;Hildmar;Pfund;27.07.1966
1210;Edelbert;Platzer;22.04.2013
1211;Karolin;Köstner;23.05.1983
1212;Mathias;Wall;01.08.2004
1213;Thea;Wille;03.01.1990
1214;Elvira;Götting;19.12.1984
1215;Sophie;Lippold;11.01.1939
1216;Annabel;Edinger;14.08.1917
1217;Freddy;Neubauer;29.03.1999
1218;Xaver;Cordes;08.12.1963
1219;Leona;Nelles;06.12.1996
1220;Trudbert;Schlemmer;18.08.1907
1221;Janet;Herden;16.11.1979
1222;Sigrun;Frehse;29.09.1933
1223;Bertin;Söhngen;20.01.1944
1224;Bianca;Fried;17.10.1969
1225;Linhilde;Brockmann;29.06.2014
1226;Carola;Kress;15.05.2004
1227;Delf;Liesegang;16.04.1903
1228;Helrike;Fels;19.04.1944
1229;Ornulf;Kalb;27.01.1981
1230;Mariele;Klenner;28.09.1991
1231;Franzpeter;Maul;17.05.1948
1232;Mirjam;Nußbaumer;31.10.2015
1233;Fritz;Scharrer;04.05.2019
1234;Jeremie;Klemt;21.06.1932
1235;Ilse;Borkowski;23.06.1908
1236;Eckehard;Porter;19.04.2019
1237;Birgitta;Warzecha;30.07.1965
1238;Evelin;Hölzl;27.06.1950
1239;Edelfriede;Rinke;29.06.1976
1240;Rosamarie;Drewes;19.04.1939
1241;Swenja;Rudolf;13.10.1962
1242;Lion;Haffner;06.12.1915
1243;Sieghart;Linz;17.05.2013
1244;Lioba;Pfarr;24.06.1905
1245;Wernhild;Behrends;11.07.1948
1246;Follrich;Lins;14.01.1911
1247;Kruno;Hilbig;21.08.1990
1248;Helen;Hustedt;06.09.1914
1249;Otfried;Hans;20.11.1962
1250;Tassilo;Dralle;07.08.1965
1251;Lucie;Hollstein;10.04.1990
1252;Hannsgeorg;Ziermann;24.02.1990
1253;Pius;Schönau;18.01.2000
1254;Reino;Stich;10.12.2007
1255;Resilotte;Vasquez;24.06.1908
1256;Wiglaf;Schlotter;19.10.1915
1257;Selina;Pingel;25.05.1982
1258;Birgitt;Rempe;26.11.1948
1259;Theodor;Baumer;09.09.2015
1260;Gotthelf;Altun;27.01.1979
1261;Paula;Schmeißer;15.09.1998
1262;Eckert;Rüth;01.09.2021
1263;Evelinde;Wachtel;18.04.1966
1264;Erhart;Mühlbauer;05.09.1972
1265;Delia;Gundermann;17.12.1954
1266;Achaz;Hingst;14.03.1972
1267;Annalene;Weiß;10.08.2002
1268;Dietwulf;Seyfried;25.05.1994
1269;Magda;Richert;05.01.2022
1270;Hermelinde;Büscher;17.06.1999
1271;Otwin;Kögel;20.02.1912
1272;Danny;Sielaff;24.06.1995
1273;Annaliese;Larsen;01.02.2011
1274;Andy;Skiba;06.11.1990
1275;Enrico;Stellmacher;27.10.1941
1276;Ringo;Tomic;30.12.1947
1277;Boto;Glander;24.11.1964
1278;Melchior;Mendel;18.07.1910
1279;Victoria;Blaß;20.06.2005
1280;Heinzjürgen;Döscher;14.01.1909
1281;Immanuel;Herms;16.04.1937
1282;Trixi;Sabine;07.04.1951
1283;Gottwald;Frerichs;27.02.2005
1284;Paulinus;Guhr;26.06.1974
1285;German;Wenderoth;08.10.1993
1286;Herzlinde;Stiegler;07.02.2011
1287;Horstfried;Schorer;24.07.1962
1288;Dietrich;Vogl;28.12.1923
1289;Susanne;Long;23.01.1991
1290;Ruppert;Rank;29.08.2002
1291;Elfie;Ridder;21.12.1966
1292;Tomas;Katrin;11.12.2005
1293;Manhardt;Wilden;05.03.1996
1294;Janis;Göhner;07.06.1952
1295;Rosmarie;Schröck;02.10.2013
1296;Marilen;Nees;01.01.2007
1297;Bernd;Myers;02.06.2019
1298;Joy;Heinicke;09.10.1919
1299;Helmut;Schaub;23.07.2018
1300;Heintje;Detlefsen;12.01.1977
1301;Antja;Wagner;03.10.1924
1302;Utta;Teuchert;08.07.1934
1303;Bernhardt;Joas;06.03.1930
1304;Kord;Giesler;06.06.1954
1305;Jannick;Schönhoff;25.08.1931
1306;Otto;Weinert;25.08.1981
1307;Wedigo;Lewerenz;09.12.1988
1308;Heide;Staubach;02.06.1983
1309;Tankred;Meier;12.09.1943
1310;Simone;Hurst;08.07.1933
1311;Erica;Klaes;28.09.1965
1312;Sonnhardt;Holtermann;31.05.1972
1313;Wieghart;Karl;18.10.1981
1314;Karlhans;Vossen;25.04.1925
1315;Eik;Pickert;17.01.2007
1316;Torsten;Scheel;17.07.1939
1317;Gottwaldt;Konieczny;22.09.2021
1318;Heideline;Schlegelmilch;27.04.1996
1319;Volkhardt;Holzhäuser;14.06.1942
1320;Tell;Woldt;11.03.1944
1321;Kläre;Börner;11.06.1924
1322;Marzel;Walzer;17.06.1935
1323;Senta;Laub;03.07.1974
1324;Hansgünter;Page;06.04.1996
1325;Isidor;Ostendorf;15.01.1938
1326;Roselore;Witte;12.10.1978
1327;Hansfriedrich;Bolduan;31.08.2014
1328;Kristian;Dölling;08.09.1991
1329;Ellen;Endemann;27.12.1962
1330;Friedegard;Schrank;02.10.1920
1331;Lilia;Bäumler;18.01.1970
1332;Margareth;Funk;30.01.2007
1333;Wilhelmine;Kleeberg;28.04.1925
1334;Alfons;Cebulla;03.04.1946
1335;Almtrud;Kruse;16.01.1984
1336;Gundolf;Seelmann;23.03.1916
1337;Antonio;Reichard;15.10.1999
1338;Hildemarie;Königs;15.06.1992
1339;Vincent;Schmelzle;13.08.1902
1340;Othmar;Bolle;20.12.1992
1341;Bert;Brunken;20.02.1953
1342;Gebhart;Weng;26.03.1957
1343;Meinard;Steeb;13.09.1968
1344;Lynn;Schuster;19.07.2009
1345;Wigand;Reil;14.04.1983
1346;Dietwulf;Walker;19.11.1950
1347;Katrina;Schoberth;02.03.1942
1348;Ishilde;Hanika;15.08.2006
1349;Inga;Klees;10.10.1979
1350;Jörn;Eirich;23.08.1996
1351;Marita;Schiffmann;07.09.1910
1352;Ruben;Muchow;08.10.1994
1353;Falkmar;Elbert;07.04.1970
1354;Ilsa;Netzer;18.11.1919
1355;Niels;Schieck;02.02.1914
1356;Friedemar;Meng;02.06.1960
1357;Raimunde;Wernicke;21.07.1982
1358;Levin;Dominik;12.07.1946
1359;Stina;Düwel;20.04.1983
1360;Friedlind;Jakubowski;15.06.1925
1361;Gundhart;Görlitz;14.12.1914
1362;Barbi;Lurz;22.03.1997
1363;Gotthilf;Gentz;11.08.1968
1364;Herwiga;Kirschke;23.12.1919
1365;Anne;Ebersbach;16.06.1999
1366;Elkmar;Schäffner;18.03.1982
1367;Gismar;Neuber;20.05.1998
1368;Leona;Weimar;03.02.1913
1369;Gertwin;Heining;18.09.1957
1370;Jeanette;Kubitz;17.12.1911
1371;Hellfried;White;11.12.1918
1372;Niels;Schimpf;29.07.1945
1373;Bernadette;Nixdorf;27.06.1995
1374;Hermann;Graw;27.03.1982
1375;Hadburg;Stengel;23.06.1925
1376;Monja;Geiser;13.04.1969
1377;Brandolf;Liebold;14.05.1966
1378;Claas;Bunge;11.10.1946
1379;Magdalene;Brings;17.03.2002
1380;Reimund;Hepp;23.05.1943
1381;Walburg;Spahr;02.01.1987
1382;Falkmar;Mansfeld;13.10.1973
1383;Ingeruth;Schley;13.12.1971
1384;Reglind;Puschmann;04.12.1906
1385;Margunde;Heyse;31.12.2018
1386;Volkhard;Drexler;11.02.1954
1387;Annedörte;Baltrusch;23.09.1920
1388;Fränzi;Sippel;18.08.1988
1389;Reintraud;Hutterer;31.10.1914
1390;Arwid;Habeck;20.02.1946
1391;Gottwaldt;Dressel;26.02.1917
1392;Gundhild;Kircher;24.09.1935
1393;Magnus;Benning;08.05.1909
1394;Katharina;Wirth;12.03.1982
1395;Burkard;Nikolic;14.10.1943
1396;Heidy;Kovacevic;30.09.1958
1397;Leberecht;Hilt;12.04.1928
1398;Grit;McCormick;19.05.1996
1399;Peggy;Ortega;26.12.1981
1400;Erik;Frede;12.12.1984
1401;Brunhilda;Würz;18.05.2025
1402;Katrein;Moeller;17.12.1924
